TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
LE DERNIER POUR LA ROUTE,PHILIPPE GODEAU,DE LOGELBACH,75017,RUE DE LOGELBACH 75017 Paris France,
YELLOW BIRD,RODOLPHE PAULY,DE FRANCE,75013,AVENUE DE FRANCE 75013 Paris France,"48.830637, 2.376768"
YELLOW BIRD,RODOLPHE PAULY,CHARCOT,75013,PASSERELLE CHARCOT 75013 Paris France,
YELLOW BIRD,RODOLPHE PAULY,DU CHEVALERET,75013,RUE DU CHEVALERET 75013 Paris France,"48.831194, 2.374076"
YELLOW BIRD,RODOLPHE PAULY,DES GRANDS MOULINS,75013,RUE DES GRANDS MOULINS 75013 Paris France,"48.827841, 2.37726"
MA MEC A MOI,J.J.ZILBERMANN,DE MONDOVI,75001,RUE DE MONDOVI 75001 Paris France,
MA MEC A MOI,J.J.ZILBERMANN,DE RIVOLI,75001,RUE DE RIVOLI 75001 Paris France,"48.860787, 2.341197"
DEAR GALILEO,NITHIWAT TARATHORN,SAINT DENIS,93200,CANAL SAINT DENIS 93200 Paris France,
FROM PARIS WITH LOVE,PIERRE MOREL,SAINT DOMINIQUE,75007,RUE SAINT DOMINIQUE 75007 Paris France,"48.859946, 2.312247"
FROM PARIS WITH LOVE,PIERRE MOREL,BONNE NOUVELLE,75002,BOULEVARD BONNE NOUVELLE 75002 Paris France,
FROM PARIS WITH LOVE,PIERRE MOREL,LEMOINE,75002,PASSAGE LEMOINE 75002 Paris France,"48.868553, 2.352838"
RAPT,LUCAS BELVAUX,MARTEL,75010,RUE MARTEL 75010 Paris France,"48.874212, 2.353121"
MA MEC A MOI,J.J.ZILBERMANN,BARBES,75018,BOULEVARD BARBES 75018 Paris France,"48.887872, 2.34953"
HUMAINS,J.-OLIVIER MOLON,DU TROCADERO,75016,JARDIN DU TROCADERO 75016 Paris France,"48.862318, 2.287561"
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,DU CLOITRE NOTRE DAME,75004,RUE DU CLOITRE NOTRE DAME 75004 Paris France,"48.853138, 2.350577"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,AU DOUBLE,75005,PONT AU DOUBLE 75005 Paris France,"48.852598, 2.348449"
MA MEC A MOI,J.J.ZILBERMANN,DE PANAMA,75018,RUE DE PANAMA 75018 Paris France,
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,DE L'ESTRAPADE,75005,PLACE DE L'ESTRAPADE 75005 Paris France,"48.84521, 2.345157"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,MONTEBELLO (BERGES,75005,QUAI MONTEBELLO (BERGES 75005 Paris France,
MA MEC A MOI,J.J.ZILBERMANN,DE SUEZ,75018,RUE DE SUEZ 75018 Paris France,
LES DERNIERS JOURS DU MONDE,JEAN MARIE LARRIEU,DU PANTHEON,75005,PLACE DU PANTHEON 75005 Paris France,"48.845685, 2.345901"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,ET RUE DU 26 AU 28,75004,ARCADES ET RUE DU 26 AU 28 75004 Paris France,
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,DU PONT LOUIS PHILIPPE,75004,RUE DU PONT LOUIS PHILIPPE 75004 Paris France,
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,DU LOUVRE,75001,QUAI DU LOUVRE 75001 Paris France,"48.85899, 2.339858"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,MARIE,75004,PONT MARIE 75004 Paris France,"48.852808, 2.357356"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,D'ANJOU,75004,QUAI D'ANJOU 75004 Paris France,"48.851915, 2.35861"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,DES BARRES/R DU GRENIER SUR L'EAU,75004,RUE DES BARRES/R DU GRENIER SUR L'EAU 75004 Paris France,
JULIE AND JULIA,NORA EPHRON,BERNARD HALPERN,75005,PLACE BERNARD HALPERN 75005 Paris France,
G.I. JOE / DARK SKY,STEPHEN SOMMERS,DE L'ETOILE,75016,PLACE DE L'ETOILE 75016 Paris France,
JULIE AND JULIA,NORA EPHRON,EDMOND VALENTIN,75007,RUE EDMOND VALENTIN 75007 Paris France,
UN CHAT UN CHAT,SOPHIE FILLIERES,DU 19 MARS 1962,75012,PLACE DU 19 MARS 1962 75012 Paris France,
LE DERNIER POLICHINELLE,MAURIZIO SCAPARRO,DE LA SORBONNE,75005,PLACE DE LA SORBONNE 75005 Paris France,"48.848577, 2.342194"
LE CODE A CHANGE,DANIELE THOMPSON,DE L'HOPITAL,75013,BOULEVARD DE L'HOPITAL 75013 Paris France,"48.837789, 2.360192"
LA FEMME INVISIBLE,AGATHE TEYSSIER,VIEILLE DU TEMPLE,75003,RUE VIEILLE DU TEMPLE 75003 Paris France,"48.860209, 2.361252"
LA FEMME INVISIBLE,AGATHE TEYSSIER,DE TURENNE,75003,RUE DE TURENNE 75003 Paris France,"48.860373, 2.364558"
CHRISTMAS IN PARIS,HANS ROYAARDS,DE LA CONCORDE,75008,PLACE DE LA CONCORDE 75008 Paris France,"48.865519, 2.321454"
CHRISTMAS IN PARIS,HANS ROYAARDS,DES CHAMPS ELYSEES/ R DE WASHINGTON,75008,AVENUE DES CHAMPS ELYSEES/ R DE WASHINGTON 75008 Paris France,
CHRISTMAS IN PARIS,HANS ROYAARDS,ROYALE/PL DE LA MADELEINE (ANGLE),75008,RUE ROYALE/PL DE LA MADELEINE (ANGLE) 75008 Paris France,
LA LIGNE BLANCHE,OLIVIER TORRES,VILLEMIN,75010,JARDIN VILLEMIN 75010 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,SAINT SEBASTIEN,75011,PASSAGE SAINT SEBASTIEN 75011 Paris France,
LE COACH,OLIVIER DORAN,DE L'OPERA,75008,PLACE DE L'OPERA 75008 Paris France,
HADEWIJCH,BRUNO DUMONT,DE SULLY,75004,PONT DE SULLY 75004 Paris France,"48.850414, 2.360031"
HADEWIJCH,BRUNO DUMONT,D'ANJOU,75004,QUAI D'ANJOU 75004 Paris France,"48.851915, 2.35861"
HADEWIJCH,BRUNO DUMONT,DES CELESTINS,75004,QUAI DES CELESTINS 75004 Paris France,"48.852245, 2.360771"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,DE TOMBOUCTOU/BD DE LA CHAPELLE (ANGLE),75018,RUE DE TOMBOUCTOU/BD DE LA CHAPELLE (ANGLE) 75018 Paris France,
LE COACH,OLIVIER DORAN,SAINT MICHEL,75006,BOULEVARD SAINT MICHEL 75006 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,CANAL,93500,BERGES CANAL 93500 Paris France,
HADEWIJCH,BRUNO DUMONT,GEORGES POMPIDOU (BRETELLE D'ACCES),75004,VOIE GEORGES POMPIDOU (BRETELLE D'ACCES) 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,DES BERGES,75004,SQUARE DES BERGES 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,ROGER PRIOU VALJEAN,75004,PLACE ROGER PRIOU VALJEAN 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,DU PONT LOUIS PHILIPPE,75004,RUE DU PONT LOUIS PHILIPPE 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,DU FIGUIER,75004,RUE DU FIGUIER 75004 Paris France,"48.853872, 2.359054"
JE NE DIS PAS NON,ILIANA LOLIC,DE L'HOTEL DE VILLE,75004,QUAI DE L'HOTEL DE VILLE 75004 Paris France,"48.854754, 2.353961"
JE NE DIS PAS NON,ILIANA LOLIC,DU PREVOT,75004,RUE DU PREVOT 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,DES JARDINS SAINT PAUL,75004,RUE DES JARDINS SAINT PAUL 75004 Paris France,"48.853236, 2.36042"
JE NE DIS PAS NON,ILIANA LOLIC,DES JUSTES,75004,ALLEE DES JUSTES 75004 Paris France,"48.855241, 2.355781"
JE NE DIS PAS NON,ILIANA LOLIC,LOUIS PHILIPPE,75004,PONT LOUIS PHILIPPE 75004 Paris France,"48.853754, 2.354315"
JE NE DIS PAS NON,ILIANA LOLIC,DU FAUCONNIER,75004,RUE DU FAUCONNIER 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,DE L'HOTEL DE VILLE,75004,RUE DE L'HOTEL DE VILLE 75004 Paris France,"48.854291, 2.355951"
JE NE DIS PAS NON,ILIANA LOLIC,DES BERGES,75004,SQUARE DES BERGES 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,DE L'HOTEL DE VILLE,75004,QUAI DE L'HOTEL DE VILLE 75004 Paris France,"48.854754, 2.353961"
JE NE DIS PAS NON,ILIANA LOLIC,DU PONT LOUIS PHILIPPE,75004,RUE DU PONT LOUIS PHILIPPE 75004 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,LOUIS PHILIPPE,75004,PONT LOUIS PHILIPPE 75004 Paris France,"48.853754, 2.354315"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,RAMBUTEAU/RUE MONTMARTRE (ANGLE),75001,RUE RAMBUTEAU/RUE MONTMARTRE (ANGLE) 75001 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,ROLLIN,75005,RUE ROLLIN 75005 Paris France,"48.844679, 2.35105"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,ANDRE BRETON,75001,ALLEE ANDRE BRETON 75001 Paris France,
JE NE DIS PAS NON,ILIANA LOLIC,DU CARDINAL LEMOINE,75005,RUE DU CARDINAL LEMOINE 75005 Paris France,
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,DE LA PLACE BLANCHE,75018,TERRE-PLEIN DE LA PLACE BLANCHE 75018 Paris France,
LE COACH,OLIVIER DORAN,"DU 19, RUE DES FRIGOS",75013,"PARKING DU 19, RUE DES FRIGOS 75013 Paris France",
LE CONCERT,RADU MIHAILEANU,DE MEAUX,75019,RUE DE MEAUX 75019 Paris France,"48.882785, 2.375609"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,VICTOR,75015,BOULEVARD VICTOR 75015 Paris France,
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,SAINT DENIS,75019,CANAL SAINT DENIS 75019 Paris France,
LE CONCERT,RADU MIHAILEANU,DE RIVOLI,75001,RUE DE RIVOLI 75001 Paris France,"48.860787, 2.341197"
LE CONCERT,RADU MIHAILEANU,SIMON BOLIVAR,75019,AVENUE SIMON BOLIVAR 75019 Paris France,"48.876453, 2.379621"
LE CONCERT,RADU MIHAILEANU,DU COLONEL FABIEN,75019,PLACE DU COLONEL FABIEN 75019 Paris France,"48.87799, 2.37064"
LE CONCERT,RADU MIHAILEANU,CENTRAL PLACE DU COLONEL FABIEN,75019,TERRE-PLEIN CENTRAL PLACE DU COLONEL FABIEN 75019 Paris France,
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,VICTOR,75015,BOULEVARD VICTOR 75015 Paris France,
LE COACH,OLIVIER DORAN,DE FRANCE,75013,AVENUE DE FRANCE 75013 Paris France,"48.830637, 2.376768"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,VICTOR,75015,BOULEVARD VICTOR 75015 Paris France,
HADEWIJCH,BRUNO DUMONT,DE SULLY,75004,PONT DE SULLY 75004 Paris France,"48.850414, 2.360031"
HADEWIJCH,BRUNO DUMONT,D'ORLEANS (BERGES,75004,QUAI D'ORLEANS (BERGES 75004 Paris France,
HADEWIJCH,BRUNO DUMONT,HENRI IV,75004,BOULEVARD HENRI IV 75004 Paris France,"48.85155, 2.363724"
LE COACH,OLIVIER DORAN,THOMAS MANN/DES CADETS/FRANCE LIBRE,75013,RUE THOMAS MANN/DES CADETS/FRANCE LIBRE 75013 Paris France,
LE COACH,OLIVIER DORAN,DE FRANCE,75013,AVENUE DE FRANCE 75013 Paris France,"48.830637, 2.376768"
HADEWIJCH,BRUNO DUMONT,DE L'EGLISE,75004,PARVIS DE L'EGLISE 75004 Paris France,
HADEWIJCH,BRUNO DUMONT,DES DEUX PONTS/QUAI D'ORLEANS (ANGLE),75004,RUE DES DEUX PONTS/QUAI D'ORLEANS (ANGLE) 75004 Paris France,
HADEWIJCH,BRUNO DUMONT,DE LA TOURNELLE,75004,PONT DE LA TOURNELLE 75004 Paris France,"48.850686, 2.3555"
JE NE DIS PAS NON,ILIANA LOLIC,DES QUATRE FILS,75003,RUE DES QUATRE FILS 75003 Paris France,"48.860634, 2.359347"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,DE L'EUROPE,75008,PLACE DE L'EUROPE 75008 Paris France,"48.879098, 2.323412"
JE NE DIS PAS NON,ILIANA LOLIC,RAMBUTEAU,75004,RUE RAMBUTEAU 75004 Paris France,"48.861629, 2.351716"
JE NE DIS PAS NON,ILIANA LOLIC,DE LA PERLE,75003,RUE DE LA PERLE 75003 Paris France,"48.859932, 2.360739"
36 VUES DU PIC SAINT LOUP,JACQUES RIVETTE,SAINT MICHEL/R DE MEDICIS (ANGLE),75005,BOULEVARD SAINT MICHEL/R DE MEDICIS (ANGLE) 75005 Paris France,
LES PETITS PRINCES,G. JULIEN LAFERRIERE,D'IENA,75016,PONT D'IENA 75016 Paris France,"48.859703, 2.292223"
36 VUES DU PIC SAINT LOUP,JACQUES RIVETTE,DE RIVOLI,75001,RUE DE RIVOLI 75001 Paris France,"48.860787, 2.341197"
LE PETIT NICOLAS,LAURENT TIRARD,LAMARCK,75018,RUE LAMARCK 75018 Paris France,"48.890288, 2.33619"
HADEWIJCH,BRUNO DUMONT,D'IENA/R DE PRESBOURG (ANGLE),75016,AVENUE D'IENA/R DE PRESBOURG (ANGLE) 75016 Paris France,
HADEWIJCH,BRUNO DUMONT,KLEBER (ENTREE METRO),75016,AVENUE KLEBER (ENTREE METRO) 75016 Paris France,
DEAR GALILEO,NITHIWAT TARATHORN,PIAT,75020,RUE PIAT 75020 Paris France,"48.872215, 2.384628"
RAPT,LUCAS BELVAUX,FOCH,75016,AVENUE FOCH 75016 Paris France,"48.872126, 2.285236"
MON BEAU PERE,ELIE CHOURAQUI,MARIE,75004,PONT MARIE 75004 Paris France,"48.852808, 2.357356"
MA MEC A MOI,J.J.ZILBERMANN,DE ROCHECHOUART,75018,BOULEVARD DE ROCHECHOUART 75018 Paris France,"48.882478, 2.341939"
ERREUR DE LA BANQUE EN VOTRE FAVEUR,MICHEL MUNZ,DE LA VILLETTE,75019,BOULEVARD DE LA VILLETTE 75019 Paris France,"48.878449, 2.370422"
LE PETIT NICOLAS,LAURENT TIRARD,RAVIGNAN,75018,RUE RAVIGNAN 75018 Paris France,"48.885697, 2.337984"
MON BEAU PERE,ELIE CHOURAQUI,MONTENOTTE,75017,RUE MONTENOTTE 75017 Paris France,
MON BEAU PERE,ELIE CHOURAQUI,BREY,75017,RUE BREY 75017 Paris France,
HADEWIJCH,BRUNO DUMONT,SAINT BERNARD,75005,QUAI SAINT BERNARD 75005 Paris France,"48.846853, 2.360944"
MON BEAU PERE,ELIE CHOURAQUI,DES TERNES,75017,AVENUE DES TERNES 75017 Paris France,"48.879189, 2.291646"
MON BEAU PERE,ELIE CHOURAQUI,PONCELET,75017,RUE PONCELET 75017 Paris France,"48.879389, 2.297662"
HADEWIJCH,BRUNO DUMONT,D'ANJOU,75004,QUAI D'ANJOU 75004 Paris France,"48.851915, 2.35861"
LES PETITS PRINCES,G. JULIEN LAFERRIERE,DE LA TOURNELLE,75004,PONT DE LA TOURNELLE 75004 Paris France,"48.850686, 2.3555"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,LOUIS XIII,75004,SQUARE LOUIS XIII 75004 Paris France,"48.855418, 2.355782"
UN CHAT UN CHAT,SOPHIE FILLIERES,PIERRE SEMARD,75009,RUE PIERRE SEMARD 75009 Paris France,"48.877791, 2.34723"
TELLEMENT PROCHES,E.TOLEDANO/O.NAKACHE,LAMARCK,75018,RUE LAMARCK 75018 Paris France,"48.890288, 2.33619"
EDEN A L'OUEST,COSTA GAVRAS,DE L'OPERA/QUATRE SEPTEMBRE,75002,AVENUE DE L'OPERA/QUATRE SEPTEMBRE 75002 Paris France,
EDEN A L'OUEST,COSTA GAVRAS,DES CAPUCINES,75002,BOULEVARD DES CAPUCINES 75002 Paris France,"48.870325, 2.331186"
EDEN A L'OUEST,COSTA GAVRAS,GAILLON,75002,RUE GAILLON 75002 Paris France,
LOL,LISA AZUELOS,BEETHOVEN,75016,RUE BEETHOVEN 75016 Paris France,"48.858449, 2.287319"
UN HOMME ET SON CHIEN,FRANCIS HUSTER,D'IVRY,75013,QUAI D'IVRY 75013 Paris France,
LA FEMME INVISIBLE,AGATHE TEYSSIER,VICTOR,75015,BOULEVARD VICTOR 75015 Paris France,
LA FEMME INVISIBLE,AGATHE TEYSSIER,ROBERT GUILLEMARD,75015,PLACE ROBERT GUILLEMARD 75015 Paris France,
LA FEMME INVISIBLE,AGATHE TEYSSIER,LEBLANC,75015,RUE LEBLANC 75015 Paris France,
LA FEMME INVISIBLE,AGATHE TEYSSIER,LECOURBE,75015,RUE LECOURBE 75015 Paris France,"48.84046, 2.295724"
LA FEMME INVISIBLE,AGATHE TEYSSIER,DU GENERAL MARTIAL VALIN,75015,BOULEVARD DU GENERAL MARTIAL VALIN 75015 Paris France,
ENVOYES (TRES) SPECIAUX,FREDERIC AUBURTIN,A JOURNAUX ( PL DU CHATEAU ROUGE),75018,KIOSQUE A JOURNAUX A JOURNAUX ( PL DU CHATEAU ROUGE) 75018 Paris France,
ENVOYES (TRES) SPECIAUX,FREDERIC AUBURTIN,POULET/R CUSTINE (ANGLE),75018,RUE POULET/R CUSTINE (ANGLE) 75018 Paris France,
ENVOYES (TRES) SPECIAUX,FREDERIC AUBURTIN,MAGENTA/BD DE LA CHAPELLE (ANGLE),75010,BOULEVARD MAGENTA/BD DE LA CHAPELLE (ANGLE) 75010 Paris France,
ENVOYES (TRES) SPECIAUX,FREDERIC AUBURTIN,CUSTINE ANGLE DU BD BARBES,75018,RUE CUSTINE ANGLE DU BD BARBES 75018 Paris France,
CHRISTMAS IN PARIS,HANS ROYAARDS,ALEXANDRE III/PONT NEUF PAR LES QUAIS,75008,PONT ALEXANDRE III/PONT NEUF PAR LES QUAIS 75008 Paris France,
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DE L'OURCQ,75019,CANAL DE L'OURCQ 75019 Paris France,
G.I. JOE / DARK SKY,STEPHEN SOMMERS,BRANLY (TROTTOIR),75007,QUAI BRANLY (TROTTOIR) 75007 Paris France,
G.I. JOE / DARK SKY,STEPHEN SOMMERS,D'IENA (TROTTOIR),75007,PONT D'IENA (TROTTOIR) 75007 Paris France,
LE COACH,OLIVIER DORAN,DE SOLFERINO,75007,RUE DE SOLFERINO 75007 Paris France,"48.860335, 2.323596"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DES ORFEVRES,75001,QUAI DES ORFEVRES 75001 Paris France,"48.855464, 2.342859"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DE MONTEBELLO,75005,QUAI DE MONTEBELLO 75005 Paris France,"48.852351, 2.348252"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DE L'HORLOGE,75001,QUAI DE L'HORLOGE 75001 Paris France,"48.856845, 2.34408"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,DU PALAIS,75004,BOULEVARD DU PALAIS 75004 Paris France,"48.855293, 2.34588"
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,AU CHANGE,75004,PONT AU CHANGE 75004 Paris France,"48.856247, 2.346526"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,AU CHANGE,75001,PONT AU CHANGE 75001 Paris France,
LA BLONDE AUX SEINS NUS,MANUEL PRADAL,SAINT MICHEL,75005,PONT SAINT MICHEL 75005 Paris France,"48.854057, 2.344621"
CYPRIEN,DAVID CHARHON,DE MEAUX,75019,RUE DE MEAUX 75019 Paris France,"48.882785, 2.375609"
CYPRIEN,DAVID CHARHON,RAMPON,75011,RUE RAMPON 75011 Paris France,
LA SAINTE VICTOIRE,FRANCOIS FAVRAT,EDOUARD PAILLERON,75019,RUE EDOUARD PAILLERON 75019 Paris France,"48.880738, 2.377177"
CYPRIEN,DAVID CHARHON,DU FAUBOURG SAINT DENIS,75010,RUE DU FAUBOURG SAINT DENIS 75010 Paris France,"48.877194, 2.356223"
LE COACH,OLIVIER DORAN,D'AUSTERLITZ,75012,RUE D'AUSTERLITZ 75012 Paris France,"48.847007, 2.370653"
LA FILLE DU RER,ANDRE TECHINE,DE VINCENNES,75012,BOIS DE VINCENNES 75012 Paris France,"48.832576, 2.418326"
CYPRIEN,DAVID CHARHON,ERNEST LEFEVRE,75020,RUE ERNEST LEFEVRE 75020 Paris France,
LE COACH,OLIVIER DORAN,BISCORNET,75012,RUE BISCORNET 75012 Paris France,"48.850192, 2.369834"
CYPRIEN,DAVID CHARHON,HAXO,75020,RUE HAXO 75020 Paris France,
LE COACH,OLIVIER DORAN,LACUEE,75012,RUE LACUEE 75012 Paris France,"48.849445, 2.369936"
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,PANHARD,75013,RUE PANHARD 75013 Paris France,
CYPRIEN,DAVID CHARHON,DU CHATEAU LANDON,75010,RUE DU CHATEAU LANDON 75010 Paris France,
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,DUMERIL/JEANNE D'ARC,75013,RUE DUMERIL/JEANNE D'ARC 75013 Paris France,
CYPRIEN,DAVID CHARHON,DE LA REPUBLIQUE/PLACE REPUBLIQUE/MALTE,75011,AVENUE DE LA REPUBLIQUE/PLACE REPUBLIQUE/MALTE 75011 Paris France,
CYPRIEN,DAVID CHARHON,DE LA MARNE,75019,QUAI DE LA MARNE 75019 Paris France,"48.889903, 2.383087"
CYPRIEN,DAVID CHARHON,ET PLACE DE THIONVILLE,75019,RUE ET PLACE DE THIONVILLE 75019 Paris France,
CYPRIEN,DAVID CHARHON,DE THIONVILLE/DE LA MEURTHE,75019,RUE DE THIONVILLE/DE LA MEURTHE 75019 Paris France,
LE CONCERT,RADU MIHAILEANU,DU FAUBOURG SAINT HONORE,75008,RUE DU FAUBOURG SAINT HONORE 75008 Paris France,"48.872845, 2.310735"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DE WAGRAM ANGLE PLACE DE L'ETOILE,75008,AVENUE DE WAGRAM ANGLE PLACE DE L'ETOILE 75008 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,SAINT SEBASTIEN,75011,PASSAGE SAINT SEBASTIEN 75011 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DU CARROUSSEL,75001,PONT DU CARROUSSEL 75001 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,FRANCOIS MITTERRAND,75001,QUAI FRANCOIS MITTERRAND 75001 Paris France,"48.859853, 2.334541"
LE CONCERT,RADU MIHAILEANU,GABRIEL,75008,AVENUE GABRIEL 75008 Paris France,"48.868372, 2.31639"
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,LACEPEDE,75005,RUE LACEPEDE 75005 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,PINEL,75013,RUE PINEL 75013 Paris France,
QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES,CECILE TELERMAN,DE LAGNY/MOUNET SULLY,75020,RUE DE LAGNY/MOUNET SULLY 75020 Paris France,
LE CONCERT,RADU MIHAILEANU,FRANKLIN D. ROOSEVELT,75008,AVENUE FRANKLIN D. ROOSEVELT 75008 Paris France,"48.869169, 2.310126"
UN CHAT UN CHAT,SOPHIE FILLIERES,LEOPOLD ACHILLE,75003,SQUARE LEOPOLD ACHILLE 75003 Paris France,"48.85863, 2.362897"
UN CHAT UN CHAT,SOPHIE FILLIERES,HENRI IV,75004,BOULEVARD HENRI IV 75004 Paris France,"48.85155, 2.363724"
UN CHAT UN CHAT,SOPHIE FILLIERES,DU PARC,75003,RUE DU PARC 75003 Paris France,
TELLEMENT PROCHES,E.TOLEDANO/O.NAKACHE,VICTOR HUGO,75016,AVENUE VICTOR HUGO 75016 Paris France,"48.868405, 2.282084"
UN CHAT UN CHAT,SOPHIE FILLIERES,DE SEVIGNE,75003,RUE DE SEVIGNE 75003 Paris France,
UN CHAT UN CHAT,SOPHIE FILLIERES,PAYENNE,75003,RUE PAYENNE 75003 Paris France,"48.858045, 2.362265"
CYPRIEN,DAVID CHARHON,DES BUTTES CHAUMONT,75019,PARC DES BUTTES CHAUMONT 75019 Paris France,"48.879974, 2.381841"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,SUZANNE BUISSON,75018,SQUARE SUZANNE BUISSON 75018 Paris France,
UNE FAMILLE CLEF EN MAIN,JEAN FRANCOIS DAVY,EDOUARD RENARD,75012,PLACE EDOUARD RENARD 75012 Paris France,"48.835075, 2.40733"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DE WAGRAM/PL DE L'ETOILE (ANGLE),75008,AVENUE DE WAGRAM/PL DE L'ETOILE (ANGLE) 75008 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DU CARROUSEL,75001,PONT DU CARROUSEL 75001 Paris France,"48.859391, 2.332942"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,FRANCOIS MITTERRAND,75001,QUAI FRANCOIS MITTERRAND 75001 Paris France,"48.859853, 2.334541"
COCO AVANT CHANEL,ANNE FONTAINE,FOCH,75016,AVENUE FOCH 75016 Paris France,"48.872126, 2.285236"
IRU NATHIGAL,JOSEPH PAULRAJ,ALEXANDRE III,75008,PONT ALEXANDRE III 75008 Paris France,"48.863669, 2.313547"
IRU NATHIGAL,JOSEPH PAULRAJ,DE LA TOURNELLE ET BERGES,75005,QUAI DE LA TOURNELLE ET BERGES 75005 Paris France,
IRU NATHIGAL,JOSEPH PAULRAJ,DES ARTS,75006,PONT DES ARTS 75006 Paris France,"48.858795, 2.337747"
RAPT,LUCAS BELVAUX,DU PORT,75001,BERGES DU PORT 75001 Paris France,
RAPT,LUCAS BELVAUX,DE SEBASTOPOL,75003,BOULEVARD DE SEBASTOPOL 75003 Paris France,"48.865573, 2.352399"
UNE AFFAIRE D'ETAT,ERIC VALETTE,SAINT LOUIS,75004,PONT SAINT LOUIS 75004 Paris France,"48.852745, 2.352713"
RAPT,LUCAS BELVAUX,SAINT MARTIN,75003,RUE SAINT MARTIN 75003 Paris France,"48.862931, 2.352354"
UNE AFFAIRE D'ETAT,ERIC VALETTE,JEAN XXIII,75004,SQUARE JEAN XXIII 75004 Paris France,"48.852432, 2.351152"
HADEWIJCH,BRUNO DUMONT,D'ANJOU,75004,QUAI D'ANJOU 75004 Paris France,"48.851915, 2.35861"
HADEWIJCH,BRUNO DUMONT,DE BETHUME,75004,QUAI DE BETHUME 75004 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DE LA TOURNELLE,75005,PONT DE LA TOURNELLE 75005 Paris France,"48.850553, 2.355368"
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,SAINT MARTIN/BASTILLE/REPUBLIQUE,75000,CANAL SAINT MARTIN/BASTILLE/REPUBLIQUE 75000 Paris France,
L'ARMEE DU CRIME,ROBERT GUEDIGUIAN,DE MONTEBELLO,75005,QUAI DE MONTEBELLO 75005 Paris France,"48.852351, 2.348252"
JULIE AND JULIA,NORA EPHRON,NOTRE DAME,75004,PONT NOTRE DAME 75004 Paris France,"48.856491, 2.348808"
